name,lat,lng
1stdibs,40.7455724,-73.9807708
helloalfred,40.7070763,-74.0124944
andela,40.74739,-73.991225
appboy,40.7556807,-73.99233439999999
appnexus,40.74189680000001,-73.9909143
artsy,40.7189764,-74.0029741
baublebar,40.743068,-73.9896618
bark,40.7690102,-73.9554778
bettercloud,40.747773,-73.993365
betterment,40.7426416,-73.991811
birchbox,40.72533,-74.0008938
blueapron,40.742038,-73.99144439999999
bondstreet,40.7261769,-73.9931962
bonobos,40.7377545,-73.9920898
businessinsider,40.7094733,-74.01101489999999
buzzfeed,40.7430974,-73.9953483
canary,40.7518568,-73.97543089999999
casper,40.8406148,-73.9392427
codecademy,40.7245178,-73.9978552
cockroachlabs,40.7380561,-73.9918527
collective,40.738933,-73.990464
commonbond,40.72278379999999,-73.998671
compass,40.7613806,-73.9693662
contently,40.7248612,-73.9965189
dashlane,40.7399443,-73.9910549
datadoghq,40.7560866,-73.9901119
dataminr,40.74672899999999,-73.98486
dia,40.71922,-74.003143
digitalasset,40.7231662,-73.9994947
digitalocean,40.723278,-74.005577
enigma,40.744422,-73.9872646
etsy,40.70058239999999,-73.9881456
everydayhealth,40.727752,-74.007695
execthread,40.752097,-73.98490699999999
fanduel,40.7399565,-73.98707139999999
flatiron,40.740083,-73.9903489
fogcreek,40.704687,-74.01123
foursquare,40.7422469,-73.9916739
generalassemb,40.7398476,-73.9902068
genius,40.749112,-73.98461
glamsquad,40.741193,-73.9930813
greenhouse,40.737673,-73.992925
grovo,40.742048,-73.99181899999999
handy,40.7237175,-74.00414839999999
harrys,40.76500679999999,-73.9753353
hellofresh,40.7436745,-73.9911753
hightower,40.7535967,-73.98046149999999
hometeam,40.7429529,-73.9922843
huffingtonpost,40.7306008,-73.99152169999999
iextrading,40.7104691,-74.0120762
invisionapp,40.754476,-73.98852
justworks,40.7514838,-74.0065922
kickstarter,40.7868667,-73.9557398
knewton,40.7369664,-73.99317549999999
kobaltmusic,40.7392568,-74.0040549
learnvest,40.7332745,-73.9928067
littlebits,40.7515033,-74.0065675
liveintent,40.710745,-74.008116
makerbot,40.6548735,-74.0125048
mealpal,40.751279,-73.98401989999999
meetup,40.7259942,-73.9957093
modaoperandi,40.7263875,-74.0077919
modernmeadow,40.833506,-74.1572269
mongodb,40.7574779,-73.9878652
themuse,40.6914551,-73.90242289999999
namely,40.7106413,-74.00956839999999
newscred,40.7430903,-73.9849029
ondeck,40.7530847,-73.9867678
orchardplatform,40.7414372,-73.9930011
hioscar,40.724554,-73.9953845
outdoorvoices,40.7205815,-73.99811009999999
paperlesspost,40.7088069,-74.0110852
percolate,40.7209855,-74.0013771
placeiq,40.7539141,-73.9853115
plated,40.8095363,-73.8961168
poppin,40.743068,-73.989662
refinery29,40.71196399999999,-74.008527
renttherunway,40.72769479999999,-74.00749909999999
returnpath,40.746558,-73.981185
Sailthru,40.7130703,-74.01319869999999
seamless,40.7539141,-73.9853115
seatgeek,40.7282319,-73.9931993
secondmarket,40.7404175,-73.9940677
shapeways,40.7437336,-73.9835686
shutterstock,40.7485411,-73.9857629
smartling,40.7525779,-73.98792619999999
sprinklr,40.7499318,-73.9854829
squarespace,40.729313,-74.00574999999999
stackexchange,40.70877369999999,-74.0067282
taboola,40.7428981,-73.98922519999999
talkspace,40.7371162,-73.9906153
taykey,40.74072,-73.992128
thrillist,40.724364,-73.99745800000001
trello,40.704687,-74.01123
triplelift,40.728232,-73.9931994
tumblr,40.7306008,-73.99152169999999
drivewithvia,40.7421751,-73.9355203
vice,40.7146628,-73.9658753
voxmedia,40.7039874,-74.0111434
vroom,40.752622,-73.98786969999999
vts,40.7541443,-73.9858036
warbyparker,40.7526392,-73.977943
wayup,40.74498699999999,-73.9922972
webmd,40.7291783,-74.0076313
wework,40.7201417,-73.99878
workmarket,40.7534195,-73.99097650000002
x,40.72725140000001,-74.000105
yext,40.7410857,-73.9873673
yieldbot,40.7402118,-73.9899853
yieldmo,40.741373,-73.999084
younow,40.7504874,-73.9849493
zocdoc,40.724313,-73.997337
